PHONE ,RELEASE DATE,PRICE ,PRICE (JAN 2025)
HTC Desire,16-02-2010,200.0,287.0
Galaxy S,04-06-2010,549.0,795.0
Nexus One,04-06-2010,499.0,713.0
HTC Evo 4G,04-06-2010,199.0,286.0
iPhone 4,24-06-2010,779.0,1120.0
Motorola Atrix 4G,22-02-2011,200.0,280.0
Xperia Play,01-04-2011,649.0,907.0
Nexus S,28-04-2011,549.0,769.0
Galaxy S II,28-04-2011,299.0,336.0
iPhone 4S,14-10-2011,659.0,926.0
Droid RAZR,11-11-2011,100.0,140.0
Galaxy S III,29-05-2012,699.0,948.0
Galaxy Nexus,29-05-2012,599.0,812.0
LG Optimus G,19-09-2012,200.0,273.0
iPhone 5,21-09-2012,899.0,1237.0
Xperia Z,09-02-2013,655.0,869.0
HTC One,22-03-2013,649.0,861.0
Nexus 4,27-04-2013,549.0,744.0
Galaxy S4,27-04-2013,799.0,1082.0
Moto X,23-08-2013,299.0,397.0
LG G2,12-09-2013,630.0,836.0
iPhone 5S,20-09-2013,949.0,1289.0
Moto G,13-11-2013,180.0,239.0
Galaxy S5,11-04-2014,699.0,943.0
Nexus 5,11-04-2014,349.0,466.0
OnePlus One,23-04-2014,299.0,320.0
LG G3,28-05-2014,600.0,776.0
iPhone 6,19-09-2014,949.0,1267.0
Asus ZenFone 2,09-03-2015,300.0,378.0
Nexus 6,10-04-2015,699.0,935.0
Nexus 5X,10-04-2015,469.0,614.0
Galaxy S6 Edge,10-04-2015,999.0,1337.0
Galaxy S6,10-04-2015,849.0,1136.0
OnePlus 2,11-08-2015,499.0,664.0
iPhone 6S,25-09-2015,999.0,1327.0
OnePlus X,19-11-2015,240.0,320.0
Galaxy S7,11-03-2016,699.0,930.0
Nexus 6P,11-03-2016,699.0,930.0
Pixel,11-03-2016,869.0,1157.0
Galaxy S7 Edge,11-03-2016,829.0,1104.0
HTC 10,12-04-2016,599.0,736.0
ZTE Axon 7,27-05-2016,400.0,492.0
Moto Z,02-06-2016,699.0,859.0
OnePlus 3,14-06-2016,549.0,721.0
iPhone 7,16-09-2016,1019.0,1335.0
LG V20,29-09-2016,830.0,1020.0
OnePlus 3T,22-11-2016,479.0,627.0
Nokia 6,19-01-2017,230.0,276.0
LG G6,10-03-2017,650.0,778.0
Pixel 2,21-04-2017,749.0,969.0
Pixel XL,21-04-2017,1009.0,1306.0
Galaxy S8+,21-04-2017,929.0,1202.0
Galaxy S8,21-04-2017,829.0,1073.0
HTC U11,16-05-2017,649.0,777.0
Xperia XZ Premium,01-06-2017,799.0,957.0
OnePlus 5,27-06-2017,559.0,722.0
iPhone 8,22-09-2017,999.0,1281.0
iPhone X,03-11-2017,1359.0,1742.0
ZTE Axon M,17-11-2017,725.0,868.0
OnePlus 5T,21-11-2017,559.0,716.0
Galaxy S9+,16-03-2018,999.0,1267.0
Pixel 3,16-03-2018,999.0,1267.0
Pixel 2 XL,16-03-2018,989.0,1254.0
Galaxy S9,16-03-2018,899.0,1140.0
Nokia 8 Sirocco,30-04-2018,650.0,759.0
OnePlus 6,22-05-2018,559.0,703.0
HTC U12+,06-06-2018,799.0,933.0
iPhone XS,21-09-2018,1189.0,1489.0
Asus ROG Phone,18-10-2018,1000.0,1167.0
OnePlus 6T,01-11-2018,589.0,699.0
Nokia 9 PureView,03-03-2019,700.0,796.0
Galaxy S10e,08-03-2019,779.0,973.0
Pixel 3a,08-03-2019,759.0,948.0
Pixel 3a XL,08-03-2019,459.0,573.0
Galaxy S10+,08-03-2019,1599.0,1997.0
Galaxy S10,08-03-2019,1100.0,1374.0
Pixel 3 XL,08-03-2019,1099.0,1372.0
Asus ZenFone 6,16-05-2019,500.0,569.0
OnePlus 7 Pro,17-05-2019,759.0,938.0
Xperia 1,30-05-2019,949.0,1079.0
iPhone 11 Pro,20-09-2019,1009.0,1242.0
OnePlus 7T,18-10-2019,599.0,736.0
Pixel 4a,06-03-2020,389.0,475.0
Galaxy S20 Ultra,06-03-2020,1379.0,1686.0
Galaxy S20+,06-03-2020,1029.0,1258.0
Pixel 4 XL,06-03-2020,1000.0,1221.0
Galaxy S20,06-03-2020,929.0,1136.0
Pixel 4,06-03-2020,859.0,1050.0
LG V60 ThinQ,20-03-2020,800.0,887.0
Moto G Power,16-04-2020,300.0,333.0
Moto G Stylus,16-04-2020,300.0,333.0
OnePlus 8 Pro,29-04-2020,1019.0,1256.0
OnePlus 8,29-04-2020,919.0,1133.0
Motorola Edge+,14-05-2020,1000.0,1109.0
ZTE Axon 20 5G,01-09-2020,450.0,499.0
Motorola Razr 5G,15-09-2020,490.0,543.0
OnePlus 8T,23-10-2020,699.0,848.0
iPhone 12 Pro,23-10-2020,1289.0,1565.0
Pixel 5,29-01-2021,629.0,760.0
Pixel 5a,29-01-2021,449.0,543.0
Galaxy S21 Ultra,29-01-2021,1459.0,1763.0
Galaxy S21+,29-01-2021,1129.0,1364.0
Galaxy S21,29-01-2021,929.0,1123.0
OnePlus 9,02-04-2021,819.0,977.0
OnePlus 9 Pro,02-04-2021,999.0,1191.0
Nokia XR20,27-07-2021,550.0,595.0
Xperia 1 III,20-08-2021,1399.0,1511.0
iPhone 13 Pro,24-09-2021,1289.0,1486.0
Pixel 6,25-02-2022,649.0,724.0
Pixel 6a,25-02-2022,459.0,512.0
Galaxy S22 Ultra,25-02-2022,1489.0,1660.0
Galaxy S22+,25-02-2022,1129.0,1259.0
Galaxy S22,25-02-2022,929.0,1036.0
Pixel 6 Pro,25-02-2022,899.0,1002.0
OnePlus 10 Pro,14-04-2022,919.0,1008.0
Xperia 1 IV,11-06-2022,1699.0,1789.0
Asus ZenFone 9,28-07-2022,800.0,843.0
OnePlus 10T,06-09-2022,719.0,807.0
iPhone 14 Pro,16-09-2022,1489.0,1587.0
OnePlus 11,16-02-2023,699.0,736.0
Pixel 7 Pro,17-02-2023,899.0,946.0
Pixel 7,17-02-2023,649.0,683.0
Pixel 7a,17-02-2023,509.0,534.0
Galaxy S23 Ultra,17-02-2023,1899.0,1999.0
Galaxy S23+,17-02-2023,1349.0,1420.0
Galaxy S23,17-02-2023,1039.0,1094.0
Motorola Razr+,23-06-2023,500.0,513.0
Xperia 1 V,28-06-2023,1399.0,1436.0
iPhone 15 Pro,22-09-2023,1489.0,1530.0
OnePlus 12,23-01-2024,1099.0,1128.0
Pixel 8,03-02-2024,859.0,874.0
Pixel Fold,03-02-2024,2009.0,2057.0
Galaxy S24 Ultra,03-02-2024,1859.0,1904.0
Galaxy S24+,03-02-2024,1309.0,1333.0
Pixel 8 Pro,03-02-2024,1299.0,1322.0
Galaxy S24,03-02-2024,989.0,1013.0
ROG Phone 9 Pro Edition ,19-11-2024,1500.0,1500.0
ROG Phone 9 Pro,19-11-2024,1200.0,1200.0
